turn,player_turn,desk,hand_0,hand_1
28,1,"[""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]","[""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
29,1,[],"[""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
30,0,"[""4H""]","[""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
31,1,"[""4H"", ""2S""]","[""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
32,0,"[""4H"", ""2S"", ""3C""]","[""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
33,1,"[""4H"", ""2S"", ""3C"", ""5S""]","[""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
34,0,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S""]","[""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
35,1,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D""]","[""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
36,0,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C""]","[""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
37,1,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H""]","[""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
